
New song
2347; 418;
2347; 418;
3086; 418;
3095; 208;
3257; 209;
3086; 209;
2793; 208;
2500; 418;
1862; 208;
1862; 208;
2092; 418;
2793; 418;
2347; 418;
2500; 1255;
1652; 417;
1652; 837;
1234; 416;
1652; 417;
1862; 837;
1234; 835;
2096; 418;
1862; 418;
2096; 418;
2212; 418;
2096; 837;
1862; 417;
1652; 417;
1650; 836;
1564; 418;
1381; 416;
1564; 418;
1652; 417;
1862; 417;
2092; 417;
1564; 836;
1379; 626;
1236; 208;
1234; 1673;
1236; 418;
1652; 417;
1652; 626;
1564; 208;
1650; 417;
2096; 418;
2096; 417;
1862; 418;
2500; 418;
2493; 418;
2500; 627;
2217; 208;
2096; 417;
2096; 418;
2096; 837;
1234; 416;
1652; 417;
1652; 627;
1564; 208;
1650; 417;
2092; 418;
2096; 418;
1862; 417;
2493; 418;
1865; 417;
1862; 627;
1562; 208;
1564; 417;
1381; 417;
1236; 836;
2500; 418;
2500; 418;
2493; 418;
1652; 417;
2217; 417;
2096; 418;
2092; 418;
1862; 418;
2500; 418;
2500; 417;
2500; 418;
1652; 417;
2212; 418;
2092; 418;
2092; 418;
1862; 417;
2793; 418;
2793; 418;
2793; 418;
2493; 417;
2212; 418;
2096; 418;
2212; 836;
1862; 417;
2096; 209;
2212; 208;
2493; 418;
1652; 418;
1650; 418;
1862; 418;
2092; 836;
2793; 418;
2793; 418;
2793; 417;
2493; 418;
2212; 417;
2096; 418;
2212; 837;
1862; 417;
2096; 208;
2212; 208;
2493; 418;
1652; 417;
1652; 417;
1862; 417;
1652; 1675;

New song
1234; 207;
2096; 208;
1862; 208;
1650; 209;
1236; 835;
1234; 208;
2096; 208;
1862; 208;
1652; 208;
1381; 836;
1381; 208;
2212; 208;
2096; 209;
1862; 208;
2493; 418;
2500; 418;
2801; 208;
2500; 208;
2217; 208;
1862; 209;
1652; 836;
2092; 208;
2096; 209;
2096; 417;
2096; 209;
2096; 208;
2096; 418;
2092; 208;
2493; 208;
1652; 208;
1862; 208;
2096; 837;
2217; 208;
2212; 208;
2212; 417;
2217; 208;
2096; 209;
2096; 417;
2092; 209;
1862; 208;
1862; 208;
2096; 208;
1862; 418;
2493; 418;
2096; 209;
2096; 208;
2096; 418;
2096; 209;
2096; 208;
2096; 418;
2096; 208;
2493; 209;
1652; 207;
1862; 209;
2096; 836;
2212; 208;
2212; 208;
2212; 418;
2212; 208;
2096; 208;
2096; 417;
2493; 209;
2493; 208;
2212; 208;
1862; 209;
1652; 836;
1564; 208;
1650; 208;
1862; 417;
1862; 836;
2092; 208;
2341; 208;
2500; 418;
2493; 836;
1562; 208;
1652; 208;
1862; 417;
1862; 836;
2092; 209;
1858; 208;
1650; 417;
1652; 836;
1564; 418;
1862; 417;
1234; 418;
1564; 417;
1381; 418;
1652; 837;
1161; 417;
1234; 835;
1862; 627;
2096; 209;
1862; 417;
1564; 1256;
1862; 627;
2096; 209;
1862; 417;
1562; 1255;
2793; 837;
2793; 418;
2347; 1256;
2499; 837;
2493; 418;
1862; 1256;
2096; 836;
